query,ids
80,[20756  8218 19826 10489 15830  8617  6849  4216 12718 16858]
81,[ 5874 15272 16591  8228 16569 16518 10870  7182 21620  6261]
82,[22099  6591 23144  1930 18158 14849 22721  7846 20568 17034]
83,[ 7400  5736  7550 16193 16564 17317  4051 16820 14063  8197]
84,[22113 21979 10100 20862  8100 19250 14863  9129 19711 11552]
85,[11959 21809  3359 15596  4313  5808  7202 14559  1201 14325]
86,[19027 21770  5751  5942 14457  7541 18849  6216 20055 18879]
87,[ 3705 17753 12737 13519 21012 11501 19298  5428 11362  9349]
88,[ 6229 11315 23069 19162  2824  6335 13611 22667 12103 16802]
89,[22756 20701 13635 16510 19940  2313 11358 17245 12425 16551]
90,[ 2607 18664 15966  2083 21453 22684 13623  2064  7472  1548]
91,[ 5052  8459 13371  3453 20964  4975 13017  6854 11488 12789]
92,[ 7124 21406  3203 10698 10696  9407 22391 17728 15792 10692]
93,[ 2695 17059 11358  4601 16510 19242 19989 16930  2381  4445]
94,[18577 18156 22353  1680  5930 20876 22433 18387 10528 14409]
95,[21287 13467 15928 22018  8091 17872 14254 22199 12230  3921]
96,[ 2025 13810  7655  2236 19064 13684  8591 14967 13978  4717]
97,[18470  5460 20698  2701 19198  4689  1051  2476 17714 14065]
98,[12874 16372  2707 18313 16427 16399 13879 14205  1594  6091]
99,[13793 15342 12789  3012 16510 14063  7635 13371 16193  8459]
100,[ 5335  9352 19298  7407 14680  2714  5495  5882 19288 16168]
101,[ 5036 20741 11157  8518  1183 10618 16556   307 18240 22519]
102,[21466  3615 14308 17832  8274  5469 19822  9001  9960 17516]
103,[17382 22203 12366  7176 19196 15112 13257  4111 10339 19287]
104,[ 9662 16591 10870  5874 16569  4333 10852 16289  2207  7885]
105,[12218 16908  1110 17843  7407  5882 19962 19098 17782 14676]
106,[22667 14928  3089  9322 22452  8822 13631 18760 13700  2310]
107,[ 4691  8495 10960 11826  9450  2061  2790 15107 18125  7144]
108,[16498 12938 20239 17730  4864 13114  4195 20665  8608  8240]
109,[18612 22115 13082 10623 22117 22800  7407   615 16168 17180]
110,[13155 10126 13169  9883  6229 22478  7663 12180 15073  4213]
111,[14428 16238 21443  5729 15966 16207 16333 16495 22351 22452]
112,[22689 16994 10090 22305 10837 20725 14376 13434  1267 19544]
113,[ 9514  7080  2381 17059 10207 11109  1435  5836 18664  8051]
114,[12863 10118  6261 15272 10870 16291  5874  7182 13550 16518]
115,[ 7525  6091 13550 15943  7019  9695 15823 16291 14205 20790]
116,[12151  8047 19012 19295 21047  9380  3035  2508  3677  1069]
117,[ 5184  6235  3760   627 21957  2330 12179 20823 14856  5437]
118,[ 8895 11418 19162  4196 18217  1806 16802 16639  1714  4313]
119,[21713 20621  6458 12717 20063 12651 21053 17100  7196 17422]
120,[16143 19581 15622  8091 15587  4871  4237  4949 19734 12731]
121,[16518 16289 13879 21620 16440 14205 10852 16569  2707 16317]
122,[  994   787  5047 22204  8000 14752  7122  8387  1171 17628]
123,[15854   864  6671 19826  8145 10432 16099  9146 14851  8993]
124,[20970 16724 16757   892 16241 18602 10965  4969 16044  8683]
125,[ 8131  8100 17405   290  7955  9550  2740  2635 22600  5346]
126,[22507 16986  6503 16544 16376  3860 16020  1943 13018 20149]
127,[13845 11467 10803 22557 14021 22641 10304  8489  2152 22667]
128,[ 2700  3055 11863 18089  3203 16686 11022 14231  7118 16792]
129,[16757 13017  5736 22790 17220 16193 13371 16820  7400 13955]
130,[ 2083 20080 13969  1866  2383  5050 12234  9820   784 16792]
131,[16791  2151  6695 14004  2346  7721  2943  2185  4689 11516]
132,[ 4179  2053 14327  4821 19735 13374  3430 22538  5469  3743]
133,[10510  4032 16581  8783 12874 12945  9209 10119 11461 18995]
134,[17056  3229  4041  1716 18543   924  4756 20665  6045 16432]
135,[ 7406  3090 13126 11985 17398 10971 23000 20636  8859 13746]
136,[20056 13777 13654 15944  6233  8476 12600 15699 14735 20823]
137,[14291 18465 15521 15087  2147 13031 14526 20360  1579  2251]
138,[ 4049 10776 16253 16452 12304 22104 14389  3120 13981  1488]
139,[13458 13964 21359  8769  5666  9165 21358 15253  7175 13828]
140,[20892 14205 15943 12955 11508  7525 15392  8605  8662 12888]
141,[19528 14923  9987  5530  9665 12781 14959  9620  5387  7043]
142,[ 7765  7989  2619 18926  7309 14127  6854 21454  7728 12529]
143,[ 2680 20596  1927  1300  5460 11123  4200 13986 11539 21916]
144,[12667  5874 12863  6261  4388 10870  4333 12535 16591  3359]
145,[19831 15839  1924 21774  2705 20676 20880  3120  2314 17291]
146,[13207 12679 12938  6532  2677  8608 19513  5921  8560  6586]
147,[11513 16550 19811  9752 14179   846  7426 15081 20789 12286]
148,[10133  2608 18629 19667 10104 20747 10989 20360 19383 16135]
149,[ 1576  7213  5003 14320  1927  1305 21777  1553  2680  2257]
150,[ 9164 15068  9020  7566 20709 14389 23160  1212  9549 16768]
151,[13463  5040  6365  9390 17405 11552 20290 16880 12717 11101]
152,[ 4994  1690  1871  3845  4544 20484  1692  4737 18574  8895]
153,[13706  4224  3851 20153  3850  3859 20152 20900 11955  9067]
154,[15746  6607  7220  7635  5470  8134 11723  4940 19548  6003]
155,[14073 23033 17363  9767 20261  5671 13586 15408 18614  9735]
156,[ 1734  1305  3789  1575  4648 22575 14408 16188 13052 11123]
157,[ 6744  1760  1617  4203 16450 11059  7951 11536  1762  4865]
158,[ 6878  2384 17013 12550 13146 21868 12248   779  1362  5447]
159,[23160 16768 13162  1980 17640 13057 19831 20879 21058  7291]
160,[ 6591 14849 23144  1930 22099  6255 18158 22721  7846 20282]
161,[ 5919  7411 10086  1859  7160  2597 15180  4776 14875  5865]
162,[15066  8527  6542 15494 19355 20837 23145 14462  3931  3370]
163,[ 2701 11479  2716  6359  2233  2476 10217 16188  2736 13985]
164,[ 1571 20344 16188  4249  6359  1013 13116  9515  9325  2716]
165,[11519  8368  9377  2222 14113  6000  1227  4069 16746  8185]
166,[11261  9366  1418 13926 12190  5717 21265 10165 17350 12546]
167,[17961  1303  3292 19222 20844   880 17516 15189  7439  5385]
168,[ 6440 19989 13044 19990  2722  7015 11304 21977  8953 20351]
169,[ 2510  5930  6972  5711 22472  2118 20876 18103 20171  2137]
170,[15791  2559 14769 21685  2194 13060 14245 13617 22530 10125]
171,[23162 19250 20468  4792  1930 11780 15252 15044 22037 22113]
172,[20144  7807 20862 14863 17395  7699  2144  2198   898  9770]
173,[15904  7426 11310  3728 10945 14943 11267 16125 16315 15830]
174,[19080  2623  3668 21871 19283 22318  2936 16686 20356 10696]
175,[16120 11721  8527  9025 16690 20666 21160  3262 18094 22033]
176,[ 9732  7033 16134 15980 12369 13024 11488  1968 19727 16422]
177,[ 3705  5882 12070 19244  9349  1110 17410  2714 13519  7755]
178,[14408 10494  5412 17714  2716 12507  1013 19244  1036 12408]
179,[13577  3374 19980  3728  5874 20603 22479 19324 21803 13459]
180,[16544  5907 16820  8833  7635 20149 15342 16757 16193  7400]
181,[ 2418  3453  1968 20196 15357 18051 10846 19516 11025 20210]
182,[18870  9860  8906 20034  2717 15174 22284  6749 19134  2714]
183,[ 3986 10313  1608 14928 13955  1696 19989  1814 16876 22482]
184,[ 4764 21061  9727 20216 20807 17885  9596  5648 19616 22330]
185,[ 9677  6922 12858  3218 11725 14227  8412 12373 20875 11475]
186,[10071 16285 11740 13994 19548  5736 16347 17245  2077 16044]
187,[16099  3705 10416 10147  2326  1110 11362 22284  5193 14680]
188,[22452  7179 21069 13700 19316 18210  2552  1316 13968 15362]
189,[10237  4287 13470 11038 19022 22458  4955 21843  6781 19583]
190,[ 2907  9103 22475 17763  2466  2508 19080  3203 17772  2936]
191,[ 4482 19082 19086  3975 21258  6742  6121 17760 11672 11107]
192,[13978  4016 19447 14875  9700  7247  2236 15379  7950  8992]
193,[ 7068  9141 13039  6725 16616 22049 16518 20790  8630 18425]
194,[22211 19298  5480 19098  5882  7755 12070 22117 16644  9349]
195,[16130 16371  2729 16241  4870 16506  6210 20970 11033  7180]
196,[16705  8822  8987  4717 16440 13039  5655 16467 16347 12797]
197,[ 8167  1751  8192 12787  7482 12622 21064 16736 15890 21703]
198,[20794  7988  6042  9945  8141  9101 23021  5454 11245  7288]
199,[12189 14700 19134  8008 14645  5193 19308 20016  5430  3705]
200,[ 9321 18733  8927 11740 16017  9133 11723 22588  9799  2019]
201,[22211 22117  7407  5480 10633 19098 12178 11008 18115 20523]
202,[ 2346  2151 17068  2185 13394 13686 14004  3244 17466 18627]
203,[15172 17797 21308 15027  9924  7587 13930  5334 12833 18555]
204,[18060 13793 16333 17220 16757  7928 17317 16044 13371 16193]
205,[ 5930  6775 22475 18902 21174 10353  4592  4119  7985 19012]
206,[ 8121 15049 18182  3947 20134 15904 11476 11656  9123 15893]
207,[20433 16239 14127  9963   910 18926  3968  7765 13562 21454]
208,[ 9686  9550 12087  5040  6365 22113 17405  9390 21926 11101]
209,[18625  4481 19162  7180 12736   843 10653 16639  7627  6210]
210,[13007 19047 18603 16912 21592 10776 10830  4550 13981 16241]
211,[ 2714 19244  5882  2716 17714  2717 17410 12070  3705  9349]
212,[ 2151  8827  4569   859  1664 18627 18367 16791 11460 19603]
213,[ 3536 12772 21868  3457 12794  3670 19605  5403  5558 21308]
214,[ 2963 17391 17381  2152 15477 11086 10304 21638  6230 21300]
215,[10714 13996 22170 12306  5987 21557 21299 17778  9381 19881]
216,[21375 19180  3677  1440 19080  7780 10438  8047 19525 20344]
217,[16427 10139 16393  3235 17844 16390 16372  8837 16517  7182]
218,[16518 15601 16440  2729  7182 16767  8228 20790  7068 10118]
219,[13985  2717  2716 14408  3123 10289 17234 10217  2476  2714]
220,[20523 19532 22117  2714  7069  4512 11456 13082 16168  8816]
221,[22995  2395 22431  2357 16277 13992 17249 22921 21875 18393]
222,[ 9627 21703  9810  4382 10618 20796 22293  2613 10304  3390]
223,[16347  8987 16467 16544  5736  8822 20970 17220 16705  5655]
224,[ 1449 12491 18554 17453 11763 13076  4031 16500 23002  4681]
225,[17234 10217  1036 13985 14408  2716 10289  2717 13686  2701]
226,[16120 10400  6972 19644 22478 20623   840  8860 21794  3095]
227,[13981  3862  3859  4967  1859  4550 15451 16253   925  3858]
228,[16876   332 17122 14067  1638  1132  3986  8051 13700 22482]
229,[ 7390  7810  4953  3978 20677  8659 10344 20603  1640  4149]
230,[15665 10126  2764 11125 19644 21919  8267 18465 16681  2510]
231,[ 9808  1325 10371  6435 16453 10101 14297 20881 18000  1851]
232,[16020 20756 18995 16506 20192 20970  8351 15915 15923 20396]
233,[13490  7601  6440  4565  3209 18217 14216 22725 12569 20041]
234,[18156 22433 22820 14318  1947 11363 20433  1638  2871 17362]
235,[ 4248 17931 14790 10285 16223 12480 22506 11345  3809  8752]
236,[19496 21606 10893  4326 20778  8305 13926  2372 16294 17972]
237,[12945  6715  5736  7550  9469  7400 13017  1966 16544 13371]
238,[ 8459  3012 10989  1683 19940 10207 11358 16510 14063 20701]
239,[19866  7123 16031  3074 17362  1254 10673 15073 19633 10528]
240,[14790  4248 11345  7957 17931 13120 23093 16223 22873  9067]
241,[ 9119  9447 18040   309 15073  7235  6672  7247 22370 11167]
242,[18109 15164 19680 19617  8650 17944 13992 21869  1208  3982]
243,[11101  4594  4946 15511  2696 13463 20813 17100  2460  9719]
244,[ 3744 10486  8203 18899  8906 18926  8134  7220 17037  1752]
245,[13007  3439 18366 10151 17519  7462 14466 15767 10776 20879]
246,[22721  7025 17034 20568 15925  6591 17120 11298 14849  2938]
247,[10357  7376 21869  6690  2428  9954 20358  6233  2357 18555]
248,[ 9875  6259  9510  2322  9225 11593 11959 17797  4230  2503]
249,[ 8953 14526  4093 20360 18603 21060 21592 15087 18728 13044]
250,[18627 18764 22478 10026  2038  2237 14004  7828 15662  9336]
251,[15501 17372 13976 16001  3111 21606 19021  2833 21980  9929]
252,[13800  2110 20876 17188  8349 21174 17342  4322  9660  2508]
253,[20935 18555  9924  6631  2928 18692  8472 13930 22739 15323]
254,[ 8906 15388  8632  2335 11402 10026  4757 19391  8391 14149]
255,[14937 18237 17459  5735 12505  7586 13426 11736 12544 13052]
256,[19866  3074 17362 18156 22433 16031 10083 21452  3866  9789]
257,[ 1567 22428  2684 19383  6422  1553 10855  1662  9692 18738]
258,[ 2233 19602 17793  4200  9907  2714  9325 20829  2701 16685]
259,[13082 18612 22115 16168 22117 10425 16883   615 17843   846]
260,[ 9087 13311 11314 13151  6925  8688 12709 13298 12479 22722]
261,[ 2812 15966 18664 13647  6226   628  1548 11282  2064 20080]
262,[10747  2011   615 22115  4675 10186 10808 11476 12994 10993]
263,[ 2956  6210  4870  7627 10153 15446 17727  7180  4366 22667]
264,[16556  7232  2824 20651  1743 14067  1615 22817 22519  6335]
265,[10766 19552  4913 19342 17647 18968 23028  5409 10764 19133]
266,[22753 10119 13623  4032  9209  8351 10510 16581 22614  9824]
267,[18366 12740 15767  8713 17519 22104 16253 17055  4876 18603]
268,[ 9002 12754  7473 17163  9948  7946 20665  8436 10971  8258]
269,[16537 20550  2679  4100 21572 15970   924  6360  1613  1880]
270,[ 8299 20202  6972 19004 19012 10071  6775 16205 17291  8860]
271,[ 9907  6427  2233  1051  7768 10690 15039  2714  4669  6225]
272,[22722 13625 22292  7122 13044 21702 19287 21634 21184  8308]
273,[15511  1637  3390 22293 20813  9574 16045  9627  2696 17996]
274,[10937  7242 12697 12468  9165 16125 10799 20286 16289 21981]
275,[ 5574 20102 19865  9925  4941 10520 19809 20606 22644 21423]
276,[15632  1966  1608  3269 16402  7362 20964  1509 15997 12798]
277,[  620  1461  9467 13854 22758 22549  2547 15575 11274  2195]
278,[10301 14828  3370  7424 12439 18088  4092  7819  6335  9664]
279,[11017 16355  9901 16345 10011  1453 19640 13873 15821  6125]
280,[10690  9325  9388  2245  7780  5470 11426 12130 19602 16766]
281,[21214 18387  2947   786   787  5047 17246  7044  8717  1171]
282,[12501 20149 17193 16820 14023 13800  3212  8833 12984 13017]
283,[ 5031 16510 20701   890 14063  7015  4051 16551 15342  1684]
284,[10494  1036 12408 10923 10467 10426 17234 14408  1864 13436]
285,[20829 11442 12729  4200  6446 13727  5461  6693  4940  3013]
286,[16716 23041  3536 21836 21139  2161 22808 10301 22626 14607]
287,[ 4550 21592  4967 22111 20757  3851  5215 20202 18603  7257]
288,[13955  8662  7535 13371 15193  7248 14428 15392 15446 10905]
289,[19667  6210 13743 15616  7105  7180 17931  4366 10965 18460]
290,[ 3382 11285 18522  7886 12509  5830 18885 16200  5693  4893]
291,[10393  2707  1594 12874 13879 15600 12566 16399 16289 16315]
292,[ 1305  2233  1575 13986  1734  6427  7768 20344 14408  1051]
293,[12888 12881  6456 21793 12867 12855  8876 16427 15693 12010]
294,[ 9505 11057 14034 20219  3045 20950  3044  2635 10413  3416]
295,[ 8400 14317 10460  1422  5716 20642  6859 10450  4667 11698]
296,[19047 13007 16912 16241 18603 10830 11033 13981 10776  6210]
297,[ 9700  3089 16371  4870 22790 14292  9902 16207  3453 20977]
298,[14875 18430 19447 23040 16986 14997  7247  7602 15227  4776]
299,[10391 20925 22104 12551  2314 21774  3120 17190 13162  7554]
300,[ 8138 17256 16130 14268 21288 16286 11532 16912  2339 19994]
301,[17351 20751  3837  5412 19244 14676  5035  9433 10289 20143]
302,[ 9700  8605 13104  7248 20977  7124  7661 15392 15976  3087]
303,[14768 14327  4179  4821 21732  8092 12995  3430  3743   914]
304,[16347 16757  5736 19667 10071 11100 20970  7514 12501 16193]
305,[ 4182 20487 16634 19444  3165  2543 19897 11285  7573  3984]
306,[21288 20527  2720 11998  7923 12000  2511  3850 12133 12003]
307,[ 8605 13039  7248 20603  5048  7068 13550  7071  9322 16518]
308,[12610 15988 20586 15790 21579 15920 11006 15940  2224 22442]
309,[21396  9370 18212 19205 15112 10709 16678 12132 18569  2624]
310,[21862  8839  3862 20199 15790  3814 18020 20208 18597 11092]
311,[21793 16074 21031 10937  4960 12878 13550 16341 18381 14365]
312,[22322 14979 16676 15378  7176  2396 18610 15077  2186 10915]
313,[16724  8197 20418 18602 19740 18210  9469  7550  2999  5736]
314,[22551  5907 17970  4445 18733 21630 19739 16930 17367  4969]
315,[ 1926 14376  6309  1680 17763 18974 22028  8074 21226  9388]
316,[12557  4427 13470  1160 15022  2502 21843 22458 21221 13435]
317,[ 2639 20964 16207 15632  1608 14428  7581 11768  7207 13371]
318,[16017  9321 18733 21458 16524  4013 11740  2021  8218  4669]
319,[16544 18274  8833 16757 23014 10946 16193  7550  7400  7635]
320,[ 7066 19965 20431  7939 11964  8573  7478  6211  8179  2704]
321,[10391  2314  7554 12551 23160 20925 10776 22104  6112 13162]
322,[19204 19189 14240 20143  7825 22829   599 11982 19693 16217]
323,[21868 12550 17013   779  2384 11592 21477 13146   657  3204]
324,[ 1599  2890  1923  6255 15047 12620   307  1563  8362  9002]
325,[  825  4446 13289 10739 12851  2699  3665 21384 19210 19302]
326,[14132 19293  9877  7739  3635 12028 17140 20414 21607  5450]
327,[15374 19117 11797 15066  9263 20736 16776 19132  4921 17248]
328,[16125 15656 13526 16616 16315  4157 10937  2707 15601  6725]
329,[ 2916 10680 19162  1890 11252 11467 22370 17307 23069  1940]
330,[ 8351 20418  8617  9000 15531 18602  9469 12231  5655 13039]
331,[ 1082  7460  9383 22284 19308  6749 19185  4794 17803 15056]
332,[22725  7578  9138  9839  1484   980 12939 13098 12569  4092]
333,[ 9087 13151 11314 20881 13311 22722  8688 23041 21748 20950]
334,[ 7400 20396  9469  5736 16376 16544 16467 12571  6715 15747]
335,[13661 16217 18974 18184 20205 22820 14318  1963 14386 12397]
336,[ 4424  6210  2729 16241  6771 13007 16912 20970  2314  1935]
337,[ 4132  1966  7362 15792  9324 11022 16334  1509 20360  8197]
338,[ 1305 13986  4648  7213  1576  1734  1256  4200 13714  2700]
339,[14004 11516  3244 17905  2943  9975  7721  7624  9914  4168]
340,[ 1927 18460  1692  9935  1567 15616  4737  7105 17291 18576]
341,[19134  9400 21265 16031  2717 20990 19308 20546 21143 11501]
342,[10391 20925 12551 21774 22104  2314  3120 12250 17190  7554]
343,[ 4032 20418 16578 12590  8351 10120  3270  9209 15942 20715]
344,[16111 13015 11734 22355  4728 19027  9752 11891 20859  8993]
345,[15446 10151  8496 16241 10252  6210 22506 14790 19765  6771]
346,[21592 11345 14790 10285  3851 19047 18603 23093 16912 16223]
347,[ 3652  2795 19248  5571  5714 11757 14769  7017 12960 12125]
348,[14092 16553 15904 15893  6982  5026  4157 19027 15656  1897]
349,[16467 20418 20970 15923 16769 10965  5736 16139 22764  8197]
350,[10638 10894  8271 17339 15670 15285 13692  6596 20560  6734]
351,[13082 15904  9752   846 11507 22115 10977  4078 21720 18612]
352,[ 2083 13532 11001  4032  8197 18684  2406  9133 17965 14033]
353,[ 9138 21214  6903  2137  7989  5930 13665 16126 15100 11459]
354,[ 5050  5421  3172  8134  1547  2820  2630 21226 20835 18385]
355,[16267  6259 11959  5422  6172  7723 10940  9875  3928 11260]
356,[20153  2439  3850 11225 23158  4836  4892 23014 23128  4550]
357,[19989 19940 10293  2381 16510 11358 17059 10277 19990  3222]
358,[15923 18995 20418 16705 18602 20970 17220  9469 16467 20396]
359,[11740 13994  4200 22588 17793  8299  3083  4445  3082 21630]
360,[ 4669  4200  2233   868 20829  1567  2680 22269 15739  6422]
361,[18760 13459  7966 14928  7224  2871 19672 18040 13631 15651]
362,[12326  3049  7199  5635  3385 11313 12890 16247  1596 19953]
363,[ 5411 21961 19342 18968 17647  6335  9555 17651 12730 11780]
364,[11780 17915  4749 21181  2396 23006 23162 14034 21836 22113]
365,[15739  9814  6225  3198  8816 18470 19198 16552 12718 13810]
366,[14023 15773 17059 17227 10207  2722 22475  2519 20142  4445]
367,[17843 19962 12218  2346 16908   888  2185  5412 10289 18627]
368,[12472  9469 20498 16820  9751  3735 20258 11740  3631  3082]
369,[22126 21265 12457  6675  9253 20775  6613  5672 14700 17836]
370,[17362 22820 22353  3074 18156 20333 14409 11363 10528 14981]
371,[ 3865 19027  4157 10945 11476  6982 15656 17630 18463 14330]
372,[11705 16329  1869 18298  2084  1293  2122   711  6176  2500]
373,[14065  8816 17714 16766 22284  2716  5412 16524 11643  1013]
374,[14318  1941 16789  7985 16217  5930 18398 19383  1614  9447]
375,[ 8341  6849 16376  1746  3735 14575  9814 16460 16399  2201]
376,[ 2076 17730 22818  2319 10431  4756 18130  3229 10221  9505]
377,[18631 17178 10983  8949  7946 22037  8179 22600  6678 14716]
378,[ 9146 16089  3832  3705  2326  6794 13240  2304 19019  1652]
379,[ 6250 20208 10391 18705  3858  9164 13791 23160  6112  9020]
380,[16639  7180 16371 22452  4481 11425 16207 22667 21443  4313]
381,[ 5622 18398 12285  4399  6896 17037  7928 12166  1547 21683]
382,[18145 21734 12917 20286 21768  7125  7242  6974 21073 15670]
383,[13727  6693  6775 20498  3353 20034 11539  2764  4200 20223]
384,[13458 15253  7242 13828 20840 12697 21981 20999  9714  3469]
385,[  859 16791 18367   624  2943 19603 17078  1664  2151   597]
386,[21734  6834 13692 20200  7671  6734 18145 20560  8271 15670]
387,[ 7247 11432  2662  7124 17152  5573 19349 21069 17227  7248]
388,[ 2684 19080 11363 13116  7787 18156 21763  3451 10083  4741]
389,[ 2210 18430 18552  4776 10790  5689  7242 12674 22479 16855]
390,[ 2736 18115  2716 22211 13985  9325 11169 17714 11426  2714]
391,[21768  7671 12917 18145  4621 15670 21888  9486  6834 13692]
392,[16855  8141 14997  8933  6974 13555  7655  3079  5826  9580]
393,[17777  8068 12162 15666 10646  7978 20070 19307 19297 16700]
394,[10694  4721 15357 13294  1701 15356 12153  5850 15406 20886]
395,[22211  2714 12178 16076 18115 17793  8816 16766 11501 17773]
396,[19103 14651 16756 19249  3699  2011  5430 10263 18578 18606]
397,[ 7554 20192 19565 15904  8683 16552 11656 15893 13810 20129]
398,[ 3244 10217  8375 12029  2476 10289  1036 16696 17234 19130]
399,[ 8937 17362  1680 11090 18974  3335 20725 19821 22820  1926]
400,[ 7817  2722 13585 15446 11432 14091  7247 10465 17254  8051]
401,[ 2626 18331 12796   957  2416  2866  8859 16928 18495 19377]
402,[21211  2236 19962  7622  5690  3435 19227  3438  9814  4779]
